nombre,tipo,nulos_pct,distintos,rango,descripcion
id,int64,0.0,119501,3862094 – 9487162,Identificador del establecimiento en el DENUE
business_name,str,0.0,89583,,Nombre o razón social del establecimiento
activity_code,int64,0.0,854,112511 – 931810,Código SCIAN de la actividad económica
activity_name,str,0.0,854,,Nombre de la actividad económica (SCIAN)
employee_range,str,0.0,7,,"Rango de personal ocupado, en texto (ej. '0 a 5 personas')"
municipality,str,0.0,72,,Municipio del domicilio del establecimiento
locality,str,0.0,708,,Localidad del domicilio del establecimiento
latitude,float64,0.0,111559,26.32235048 – 32.49312629,Latitud del establecimiento
longitude,float64,0.0,111656,-115.01158515 – -108.6502778,Longitud del establecimiento
registration_date,datetime64[us],0.0,22,2010-07-01 – 2024-05-01,Fecha de alta del establecimiento en el DENUE
employee_range_rank,int64,0.0,7,1 – 7,"Orden del rango de personal ocupado, de 1 (menor) a 7 (mayor)"
has_phone,bool,0.0,2,False – True,Si el establecimiento tiene teléfono registrado
has_email,bool,0.0,2,False – True,Si el establecimiento tiene correo electrónico registrado
